,i_roc,p_roc,pro_auc
mvtec3d-bagel,80.53,91.49,70.83
mvtec3d-cable_gland,78.38,72.70,54.81
mvtec3d-carrot,70.29,92.73,81.57
mvtec3d-cookie,81.38,87.63,72.68
mvtec3d-dowel,78.92,84.64,70.33
mvtec3d-foam,54.69,81.59,53.26
mvtec3d-peach,81.28,83.32,61.84
mvtec3d-potato,59.93,71.44,59.77
mvtec3d-rope,90.76,97.85,89.20
mvtec3d-tire,64.92,79.60,56.42
