,i_roc,p_roc,pro_auc
eyescandies-CandyCane,60.48,82.05,67.56
eyescandies-ChocolateCookie,77.12,86.45,63.46
eyescandies-ChocolatePraline,80.48,85.62,63.30
eyescandies-Confetto,90.72,92.42,88.06
eyescandies-GummyBear,74.52,82.18,64.74
eyescandies-HazelnutTruffle,69.28,85.41,52.49
eyescandies-LicoriceSandwich,87.36,90.04,72.81
eyescandies-Lollipop,70.22,96.15,77.36
eyescandies-Marshmallow,93.76,90.02,81.79
eyescandies-PeppermintCandy,80.16,82.59,64.08
