,i_roc,p_roc,pro_auc
eyescandies-CandyCane,60.48,82.07,67.54
eyescandies-ChocolateCookie,76.96,86.51,63.53
eyescandies-ChocolatePraline,80.32,85.61,63.29
eyescandies-Confetto,90.72,92.43,88.05
eyescandies-GummyBear,74.52,82.18,64.77
eyescandies-HazelnutTruffle,69.44,85.39,52.50
eyescandies-LicoriceSandwich,87.04,90.02,72.87
eyescandies-Lollipop,70.22,96.15,77.35
eyescandies-Marshmallow,93.76,90.02,81.76
eyescandies-PeppermintCandy,80.16,82.57,64.05
