,i_roc,p_roc,pro_auc
eyescandies-CandyCane,59.68,81.33,67.43
eyescandies-ChocolateCookie,78.08,85.88,63.50
eyescandies-ChocolatePraline,80.48,85.60,63.45
eyescandies-Confetto,90.40,92.42,88.20
eyescandies-GummyBear,74.68,82.12,64.69
eyescandies-HazelnutTruffle,69.44,85.34,52.26
eyescandies-LicoriceSandwich,87.52,89.97,72.53
eyescandies-Lollipop,70.40,96.03,77.31
eyescandies-Marshmallow,93.76,90.04,81.83
eyescandies-PeppermintCandy,80.32,82.49,64.19
