,i_roc,p_roc,pro_auc
eyescandies-CandyCane,59.68,81.34,67.42
eyescandies-ChocolateCookie,78.08,85.90,63.51
eyescandies-ChocolatePraline,80.48,85.61,63.46
eyescandies-Confetto,90.24,92.42,88.20
eyescandies-GummyBear,74.68,82.11,64.72
eyescandies-HazelnutTruffle,69.28,85.32,52.26
eyescandies-LicoriceSandwich,87.52,89.96,72.54
eyescandies-Lollipop,70.40,96.02,77.27
eyescandies-Marshmallow,93.76,90.04,81.80
eyescandies-PeppermintCandy,80.32,82.46,64.15
