,i_roc,p_roc,pro_auc
eyescandies-CandyCane,60.48,82.07,67.54
eyescandies-ChocolateCookie,76.96,86.52,63.53
eyescandies-ChocolatePraline,80.32,85.61,63.29
eyescandies-Confetto,90.72,92.43,88.05
eyescandies-GummyBear,74.52,82.18,64.77
eyescandies-HazelnutTruffle,69.28,85.40,52.50
eyescandies-LicoriceSandwich,87.04,90.03,72.88
eyescandies-Lollipop,70.22,96.16,77.35
eyescandies-Marshmallow,93.76,90.01,81.75
eyescandies-PeppermintCandy,80.16,82.57,64.05
