,i_roc,p_roc,pro_auc
eyescandies-CandyCane,59.84,81.51,67.34
eyescandies-ChocolateCookie,78.56,85.83,63.32
eyescandies-ChocolatePraline,80.32,85.69,63.38
eyescandies-Confetto,90.88,92.39,88.08
eyescandies-GummyBear,74.36,82.10,64.64
eyescandies-HazelnutTruffle,68.64,85.32,52.43
eyescandies-LicoriceSandwich,86.88,89.96,72.21
eyescandies-Lollipop,70.77,96.01,77.14
eyescandies-Marshmallow,93.76,89.97,81.78
eyescandies-PeppermintCandy,80.48,82.26,64.07
