,i_roc,p_roc,pro_auc
eyescandies-CandyCane,59.52,81.95,67.37
eyescandies-ChocolateCookie,76.64,86.43,63.29
eyescandies-ChocolatePraline,80.64,85.67,63.31
eyescandies-Confetto,90.08,92.37,88.03
eyescandies-GummyBear,74.84,82.23,64.72
eyescandies-HazelnutTruffle,68.64,85.32,52.64
eyescandies-LicoriceSandwich,87.52,90.02,72.72
eyescandies-Lollipop,70.77,96.06,77.26
eyescandies-Marshmallow,93.76,90.05,81.80
eyescandies-PeppermintCandy,80.32,82.46,63.89
