,i_roc,p_roc,pro_auc
mvtec3d-bagel,84.87,91.08,77.26
mvtec3d-cable_gland,81.83,75.07,58.30
mvtec3d-carrot,75.03,93.51,84.79
mvtec3d-cookie,88.35,90.40,77.87
mvtec3d-dowel,72.08,91.38,80.25
mvtec3d-foam,68.38,88.82,70.90
mvtec3d-peach,87.74,88.33,76.60
mvtec3d-potato,64.72,79.71,73.58
mvtec3d-rope,92.89,98.62,91.23
mvtec3d-tire,65.89,83.26,69.36
