,i_roc,p_roc,pro_auc
mvtec3d-bagel,86.62,92.30,75.28
mvtec3d-cable_gland,89.00,76.25,59.66
mvtec3d-carrot,81.79,91.58,84.54
mvtec3d-cookie,69.00,83.66,62.47
mvtec3d-dowel,75.67,85.43,68.73
mvtec3d-foam,79.38,88.39,76.25
mvtec3d-peach,63.46,82.21,71.65
mvtec3d-potato,0.00,0.00,0.00
mvtec3d-rope,0.00,0.00,0.00
mvtec3d-tire,0.00,0.00,0.00
