,i_roc,p_roc
mvtec3d-bagel,82.59,0.00
mvtec3d-cable_gland,81.44,0.00
mvtec3d-carrot,80.11,0.00
mvtec3d-cookie,72.33,0.00
mvtec3d-dowel,81.99,0.00
mvtec3d-foam,72.19,0.00
mvtec3d-peach,69.12,0.00
mvtec3d-potato,57.56,0.00
mvtec3d-rope,93.48,0.00
mvtec3d-tire,68.97,0.00
