,i_roc,p_roc
mvtec3d-bagel,79.86,0.00
mvtec3d-cable_gland,82.43,0.00
mvtec3d-carrot,79.63,0.00
mvtec3d-cookie,66.50,0.00
mvtec3d-dowel,87.46,0.00
mvtec3d-foam,75.31,0.00
mvtec3d-peach,75.87,0.00
mvtec3d-potato,54.89,0.00
mvtec3d-rope,92.35,0.00
mvtec3d-tire,77.56,0.00
