,i_roc,p_roc,pro_auc
mvtec3d-bagel,0.00,0.00,0.00
mvtec3d-cable_gland,0.00,0.00,0.00
mvtec3d-carrot,0.00,0.00,0.00
mvtec3d-cookie,82.07,87.61,69.32
mvtec3d-dowel,0.00,0.00,0.00
mvtec3d-foam,0.00,0.00,0.00
mvtec3d-peach,87.66,83.76,68.10
mvtec3d-potato,0.00,0.00,0.00
mvtec3d-rope,0.00,0.00,0.00
mvtec3d-tire,0.00,0.00,0.00
