,i_roc,p_roc,pro_auc
mvtec3d-bagel,87.14,93.50,78.47
mvtec3d-cable_gland,81.06,70.63,55.70
mvtec3d-carrot,79.10,92.70,81.74
mvtec3d-cookie,86.06,89.76,74.79
mvtec3d-dowel,80.29,88.37,75.55
mvtec3d-foam,71.94,84.98,67.18
mvtec3d-peach,81.17,86.17,70.72
mvtec3d-potato,56.18,76.44,64.07
mvtec3d-rope,86.68,98.35,88.82
mvtec3d-tire,65.15,84.27,67.20
