,i_roc,p_roc,pro_auc
mvtec3d-bagel,84.66,87.66,68.27
mvtec3d-cable_gland,72.47,69.94,54.02
mvtec3d-carrot,76.21,90.57,81.33
mvtec3d-cookie,75.90,85.74,60.63
mvtec3d-dowel,82.69,80.70,64.01
mvtec3d-foam,75.44,87.57,70.79
mvtec3d-peach,73.08,80.93,67.13
mvtec3d-potato,61.17,70.20,66.03
mvtec3d-rope,91.12,96.02,80.67
mvtec3d-tire,71.03,76.31,54.20
