,i_roc,p_roc,pro_auc
mvtec3d-bagel,84.04,87.66,68.27
mvtec3d-cable_gland,72.58,69.94,54.02
mvtec3d-carrot,75.51,90.57,81.33
mvtec3d-cookie,75.10,85.74,60.63
mvtec3d-dowel,82.66,80.70,64.01
mvtec3d-foam,75.94,87.57,70.79
mvtec3d-peach,73.11,80.93,67.13
mvtec3d-potato,60.62,70.20,66.03
mvtec3d-rope,91.17,96.02,80.67
mvtec3d-tire,71.03,76.31,54.20
