,i_roc,p_roc,pro_auc
mvtec3d-bagel,85.12,87.66,68.27
mvtec3d-cable_gland,71.98,69.94,54.02
mvtec3d-carrot,75.48,90.57,81.33
mvtec3d-cookie,76.98,85.74,60.63
mvtec3d-dowel,82.51,80.70,64.01
mvtec3d-foam,75.88,87.57,70.79
mvtec3d-peach,73.66,80.93,67.13
mvtec3d-potato,60.92,70.20,66.03
mvtec3d-rope,91.21,96.02,80.67
mvtec3d-tire,70.99,76.31,54.20
