,i_roc,p_roc,pro_auc
eyescandies-CandyCane,63.04,80.67,65.87
eyescandies-ChocolateCookie,74.24,81.53,57.13
eyescandies-ChocolatePraline,83.20,84.41,60.27
eyescandies-Confetto,92.16,93.08,91.23
eyescandies-GummyBear,77.08,82.87,65.68
eyescandies-HazelnutTruffle,66.88,85.49,48.78
eyescandies-LicoriceSandwich,92.96,91.07,73.98
eyescandies-Lollipop,84.56,96.14,77.55
eyescandies-Marshmallow,94.40,90.20,82.71
eyescandies-PeppermintCandy,88.80,84.61,70.74
