,i_roc,p_roc,pro_auc
eyescandies-CandyCane,63.04,80.67,65.87
eyescandies-ChocolateCookie,75.04,81.53,57.13
eyescandies-ChocolatePraline,83.52,84.41,60.27
eyescandies-Confetto,92.16,93.08,91.23
eyescandies-GummyBear,77.56,82.87,65.68
eyescandies-HazelnutTruffle,67.36,85.49,48.78
eyescandies-LicoriceSandwich,92.16,91.07,73.98
eyescandies-Lollipop,84.38,96.14,77.55
eyescandies-Marshmallow,94.56,90.20,82.71
eyescandies-PeppermintCandy,89.12,84.61,70.74
