,i_roc,p_roc,pro_auc
mvtec3d-bagel,84.76,92.21,75.46
mvtec3d-cable_gland,83.91,76.89,54.69
mvtec3d-carrot,70.45,94.33,83.49
mvtec3d-cookie,82.35,88.36,72.29
mvtec3d-dowel,83.58,86.41,76.08
mvtec3d-foam,67.19,85.51,62.92
mvtec3d-peach,87.88,84.59,69.40
mvtec3d-potato,51.24,71.08,62.78
mvtec3d-rope,88.45,98.13,88.36
mvtec3d-tire,71.86,82.81,63.59
