,i_roc,p_roc,pro_auc
mvtec3d-bagel,84.61,92.10,75.20
mvtec3d-cable_gland,83.52,76.72,55.14
mvtec3d-carrot,71.44,94.41,84.17
mvtec3d-cookie,82.45,88.35,72.58
mvtec3d-dowel,83.32,86.19,76.21
mvtec3d-foam,66.62,85.44,62.80
mvtec3d-peach,87.92,84.65,70.02
mvtec3d-potato,50.84,71.20,63.03
mvtec3d-rope,87.91,97.93,88.17
mvtec3d-tire,72.23,82.74,63.77
