,i_roc,p_roc,pro_auc
mvtec3d-bagel,83.52,87.54,69.71
mvtec3d-cable_gland,82.59,70.41,57.79
mvtec3d-carrot,76.23,92.81,82.31
mvtec3d-cookie,74.65,83.41,62.80
mvtec3d-dowel,77.18,82.81,66.28
mvtec3d-foam,70.31,83.13,65.52
mvtec3d-peach,68.76,82.68,66.22
mvtec3d-potato,58.99,75.21,68.04
mvtec3d-rope,91.71,97.07,82.36
mvtec3d-tire,67.86,70.40,45.17
