,i_roc,p_roc,pro_auc
eyescandies-CandyCane,44.32,73.50,49.53
eyescandies-ChocolateCookie,63.04,78.96,49.60
eyescandies-ChocolatePraline,0.00,0.00,0.00
eyescandies-Confetto,0.00,0.00,0.00
eyescandies-GummyBear,0.00,0.00,0.00
eyescandies-HazelnutTruffle,0.00,0.00,0.00
eyescandies-LicoriceSandwich,0.00,0.00,0.00
eyescandies-Lollipop,0.00,0.00,0.00
eyescandies-Marshmallow,0.00,0.00,0.00
eyescandies-PeppermintCandy,0.00,0.00,0.00
