,i_roc,p_roc,pro_auc
eyescandies-CandyCane,59.20,69.17,48.35
eyescandies-ChocolateCookie,66.72,68.89,39.04
eyescandies-ChocolatePraline,71.04,74.82,43.00
eyescandies-Confetto,92.00,83.62,78.04
eyescandies-GummyBear,68.75,75.05,54.71
eyescandies-HazelnutTruffle,60.64,74.34,41.51
eyescandies-LicoriceSandwich,83.20,89.00,68.16
eyescandies-Lollipop,73.53,77.72,55.03
eyescandies-Marshmallow,87.52,90.49,77.75
eyescandies-PeppermintCandy,78.88,73.14,59.31
