,i_roc,p_roc,pro_auc
eyescandies-CandyCane,56.80,69.17,48.35
eyescandies-ChocolateCookie,64.80,68.89,39.04
eyescandies-ChocolatePraline,72.16,74.82,43.00
eyescandies-Confetto,90.08,83.62,78.04
eyescandies-GummyBear,68.91,75.05,54.71
eyescandies-HazelnutTruffle,60.48,74.34,41.51
eyescandies-LicoriceSandwich,78.72,89.00,68.16
eyescandies-Lollipop,70.04,77.72,55.03
eyescandies-Marshmallow,88.32,90.49,77.75
eyescandies-PeppermintCandy,78.88,73.14,59.31
