,i_roc,p_roc,pro_auc
eyescandies-CandyCane,55.36,69.17,48.35
eyescandies-ChocolateCookie,74.72,68.89,39.04
eyescandies-ChocolatePraline,71.52,74.82,43.00
eyescandies-Confetto,90.88,83.62,78.04
eyescandies-GummyBear,69.39,75.05,54.71
eyescandies-HazelnutTruffle,60.00,74.34,41.51
eyescandies-LicoriceSandwich,81.92,89.00,68.16
eyescandies-Lollipop,70.22,77.72,55.03
eyescandies-Marshmallow,88.64,90.49,77.75
eyescandies-PeppermintCandy,77.76,73.14,59.31
