,i_roc,p_roc,pro_auc
mvtec3d-bagel,82.18,91.77,74.81
mvtec3d-cable_gland,80.46,74.28,50.86
mvtec3d-carrot,76.43,94.07,83.12
mvtec3d-cookie,85.09,87.59,69.39
mvtec3d-dowel,82.88,86.15,75.52
mvtec3d-foam,62.69,85.10,62.41
mvtec3d-peach,83.89,83.40,66.60
mvtec3d-potato,54.94,70.58,62.57
mvtec3d-rope,90.81,97.96,88.62
mvtec3d-tire,76.83,82.10,63.25
