,i_roc,p_roc,pro_auc
mvtec3d-bagel,79.08,91.81,74.83
mvtec3d-cable_gland,80.73,74.60,51.65
mvtec3d-carrot,75.06,94.09,83.25
mvtec3d-cookie,83.77,87.59,69.34
mvtec3d-dowel,83.10,86.02,75.47
mvtec3d-foam,62.31,85.02,62.50
mvtec3d-peach,84.80,83.71,67.50
mvtec3d-potato,54.25,70.53,62.68
mvtec3d-rope,83.92,97.93,88.52
mvtec3d-tire,76.83,82.28,62.93
