,i_roc,p_roc,pro_auc
eyescandies-CandyCane,44.32,73.52,49.53
eyescandies-ChocolateCookie,63.04,78.96,49.61
eyescandies-ChocolatePraline,61.76,75.80,45.78
eyescandies-Confetto,85.12,81.41,73.01
eyescandies-GummyBear,66.19,74.82,53.04
eyescandies-HazelnutTruffle,48.64,74.82,44.88
eyescandies-LicoriceSandwich,71.20,88.49,66.81
eyescandies-Lollipop,55.51,82.86,59.11
eyescandies-Marshmallow,88.80,89.81,78.40
eyescandies-PeppermintCandy,67.68,70.72,53.90
