,i_roc,p_roc,pro_auc
eyescandies-CandyCane,44.16,71.70,49.57
eyescandies-ChocolateCookie,63.84,77.88,49.34
eyescandies-ChocolatePraline,61.44,75.69,45.68
eyescandies-Confetto,81.44,80.56,69.91
eyescandies-GummyBear,66.19,74.54,53.03
eyescandies-HazelnutTruffle,48.64,74.77,44.85
eyescandies-LicoriceSandwich,70.88,88.48,66.87
eyescandies-Lollipop,55.51,82.66,59.26
eyescandies-Marshmallow,88.96,89.77,78.38
eyescandies-PeppermintCandy,68.96,70.65,54.81
