,i_roc,p_roc,pro_auc
eyescandies-CandyCane,44.32,73.52,49.53
eyescandies-ChocolateCookie,63.04,79.03,47.18
eyescandies-ChocolatePraline,61.76,75.80,45.77
eyescandies-Confetto,85.12,81.47,73.18
eyescandies-GummyBear,66.35,74.82,53.05
eyescandies-HazelnutTruffle,48.32,74.82,44.88
eyescandies-LicoriceSandwich,71.20,88.46,66.76
eyescandies-Lollipop,55.51,82.96,59.21
eyescandies-Marshmallow,88.80,89.79,78.39
eyescandies-PeppermintCandy,68.64,70.78,53.98
