,i_roc,p_roc,pro_auc
eyescandies-CandyCane,43.68,73.18,49.71
eyescandies-ChocolateCookie,62.72,79.00,49.04
eyescandies-ChocolatePraline,62.24,75.77,45.67
eyescandies-Confetto,85.28,81.28,73.01
eyescandies-GummyBear,66.03,74.73,52.86
eyescandies-HazelnutTruffle,47.84,74.79,44.73
eyescandies-LicoriceSandwich,70.56,88.37,66.43
eyescandies-Lollipop,55.51,82.88,58.88
eyescandies-Marshmallow,88.96,89.84,78.46
eyescandies-PeppermintCandy,65.28,69.61,52.70
