,i_roc,p_roc,pro_auc
eyescandies-CandyCane,44.32,73.50,49.53
eyescandies-ChocolateCookie,63.04,78.96,49.60
eyescandies-ChocolatePraline,61.76,75.79,45.78
eyescandies-Confetto,85.12,81.41,73.04
eyescandies-GummyBear,66.19,74.82,53.04
eyescandies-HazelnutTruffle,48.64,74.81,44.87
eyescandies-LicoriceSandwich,71.20,88.48,66.80
eyescandies-Lollipop,55.51,82.86,59.13
eyescandies-Marshmallow,88.80,89.81,78.40
eyescandies-PeppermintCandy,67.84,70.70,53.91
