,i_roc,p_roc,pro_auc
eyescandies-CandyCane,44.16,71.70,49.57
eyescandies-ChocolateCookie,63.84,77.93,49.42
eyescandies-ChocolatePraline,61.44,75.70,45.70
eyescandies-Confetto,81.44,80.62,70.01
eyescandies-GummyBear,66.35,74.54,53.03
eyescandies-HazelnutTruffle,48.64,74.77,44.86
eyescandies-LicoriceSandwich,70.88,88.47,66.84
eyescandies-Lollipop,55.70,82.73,59.30
eyescandies-Marshmallow,88.96,89.77,78.34
eyescandies-PeppermintCandy,69.28,70.69,54.90
