,i_roc,p_roc,pro_auc
mvtec3d-bagel,78.10,86.20,64.77
mvtec3d-cable_gland,84.07,72.72,52.09
mvtec3d-carrot,69.30,89.15,78.29
mvtec3d-cookie,69.90,83.05,58.05
mvtec3d-dowel,77.74,79.81,65.20
mvtec3d-foam,76.31,85.56,70.48
mvtec3d-peach,75.25,82.32,67.19
mvtec3d-potato,57.71,76.12,68.79
mvtec3d-rope,92.48,96.66,81.08
mvtec3d-tire,75.26,73.37,50.46
