,i_roc,p_roc,pro_auc
mvtec3d-bagel,87.24,93.49,78.35
mvtec3d-cable_gland,0.00,0.00,0.00
mvtec3d-carrot,0.00,0.00,0.00
mvtec3d-cookie,86.34,89.82,74.86
mvtec3d-dowel,80.44,88.55,76.23
mvtec3d-foam,0.00,0.00,0.00
mvtec3d-peach,81.02,86.18,70.12
mvtec3d-potato,0.00,0.00,0.00
mvtec3d-rope,0.00,0.00,0.00
mvtec3d-tire,0.00,0.00,0.00
