,i_roc,p_roc,pro_auc
mvtec3d-bagel,81.77,91.47,76.49
mvtec3d-cable_gland,79.31,73.75,51.93
mvtec3d-carrot,70.06,93.43,82.96
mvtec3d-cookie,78.12,87.15,70.19
mvtec3d-dowel,79.62,88.93,77.30
mvtec3d-foam,60.37,84.43,66.62
mvtec3d-peach,77.47,82.40,64.64
mvtec3d-potato,54.55,71.75,64.57
mvtec3d-rope,90.58,97.70,89.71
mvtec3d-tire,65.93,81.40,65.47
