,i_roc,p_roc,pro_auc
eyescandies-CandyCane,57.28,75.13,56.98
eyescandies-ChocolateCookie,62.72,80.92,57.26
eyescandies-ChocolatePraline,67.04,85.11,57.27
eyescandies-Confetto,84.48,91.15,86.30
eyescandies-GummyBear,65.54,72.55,62.03
eyescandies-HazelnutTruffle,55.04,82.33,48.08
eyescandies-LicoriceSandwich,85.76,88.80,72.73
eyescandies-Lollipop,79.96,95.81,76.48
eyescandies-Marshmallow,86.08,80.52,79.06
eyescandies-PeppermintCandy,81.60,82.97,74.77
