,i_roc,p_roc,pro_auc
eyescandies-CandyCane,59.20,75.13,56.98
eyescandies-ChocolateCookie,63.20,80.92,57.26
eyescandies-ChocolatePraline,64.00,85.11,57.27
eyescandies-Confetto,84.16,91.15,86.30
eyescandies-GummyBear,66.83,72.55,62.03
eyescandies-HazelnutTruffle,55.52,82.33,48.08
eyescandies-LicoriceSandwich,86.40,88.80,72.73
eyescandies-Lollipop,79.23,95.81,76.48
eyescandies-Marshmallow,87.20,80.52,79.06
eyescandies-PeppermintCandy,81.92,82.97,74.77
