,i_roc,p_roc,pro_auc
eyescandies-CandyCane,59.52,75.13,56.98
eyescandies-ChocolateCookie,63.84,80.92,57.26
eyescandies-ChocolatePraline,69.44,85.11,57.27
eyescandies-Confetto,84.16,91.15,86.30
eyescandies-GummyBear,67.63,72.55,62.03
eyescandies-HazelnutTruffle,58.24,82.33,48.08
eyescandies-LicoriceSandwich,84.80,88.80,72.73
eyescandies-Lollipop,79.60,95.81,76.48
eyescandies-Marshmallow,86.56,80.52,79.06
eyescandies-PeppermintCandy,82.40,82.97,74.77
