,i_roc,p_roc,pro_auc
mvtec3d-bagel,89.00,95.44,83.78
mvtec3d-cable_gland,78.00,74.75,61.57
mvtec3d-carrot,74.16,94.98,83.87
mvtec3d-cookie,82.87,90.91,78.51
mvtec3d-dowel,75.52,88.43,77.73
mvtec3d-foam,69.06,87.21,68.03
mvtec3d-peach,78.30,84.64,71.86
mvtec3d-potato,58.45,82.08,73.35
mvtec3d-rope,90.81,98.76,91.46
mvtec3d-tire,70.02,88.23,70.71
