,i_roc,p_roc
mvtec3d-bagel,88.22,0.00
mvtec3d-cable_gland,82.32,0.00
mvtec3d-carrot,81.14,0.00
mvtec3d-cookie,75.21,0.00
mvtec3d-dowel,82.54,0.00
mvtec3d-foam,84.62,0.00
mvtec3d-peach,78.92,0.00
mvtec3d-potato,66.70,0.00
mvtec3d-rope,94.43,0.00
mvtec3d-tire,70.44,0.00
