,i_roc,p_roc
mvtec3d-bagel,83.42,0.00
mvtec3d-cable_gland,88.56,0.00
mvtec3d-carrot,80.84,0.00
mvtec3d-cookie,71.08,0.00
mvtec3d-dowel,82.80,0.00
mvtec3d-foam,79.00,0.00
mvtec3d-peach,82.29,0.00
mvtec3d-potato,61.61,0.00
mvtec3d-rope,95.15,0.00
mvtec3d-tire,72.05,0.00
