,i_roc,p_roc
mvtec3d-bagel,80.01,0.00
mvtec3d-cable_gland,87.47,0.00
mvtec3d-carrot,82.44,0.00
mvtec3d-cookie,69.66,0.00
mvtec3d-dowel,82.77,0.00
mvtec3d-foam,81.94,0.00
mvtec3d-peach,71.77,0.00
mvtec3d-potato,68.28,0.00
mvtec3d-rope,92.89,0.00
mvtec3d-tire,73.70,0.00
