,i_roc,p_roc,pro_auc
eyescandies-CandyCane,48.64,79.72,60.92
eyescandies-ChocolateCookie,65.44,86.93,65.46
eyescandies-ChocolatePraline,62.72,86.95,62.25
eyescandies-Confetto,81.44,90.48,81.80
eyescandies-GummyBear,62.66,72.16,62.08
eyescandies-HazelnutTruffle,56.64,82.76,50.24
eyescandies-LicoriceSandwich,73.60,87.67,70.89
eyescandies-Lollipop,69.12,95.95,78.24
eyescandies-Marshmallow,84.00,79.79,76.70
eyescandies-PeppermintCandy,67.84,82.23,65.80
