,i_roc,p_roc,pro_auc
eyescandies-CandyCane,49.12,79.52,60.82
eyescandies-ChocolateCookie,65.12,85.82,64.32
eyescandies-ChocolatePraline,62.24,86.77,62.38
eyescandies-Confetto,81.28,90.37,82.49
eyescandies-GummyBear,62.98,72.11,62.23
eyescandies-HazelnutTruffle,56.80,82.30,50.20
eyescandies-LicoriceSandwich,73.28,87.59,70.52
eyescandies-Lollipop,68.75,95.90,77.84
eyescandies-Marshmallow,84.32,79.92,76.71
eyescandies-PeppermintCandy,67.20,81.65,65.69
