,i_roc,p_roc,pro_auc
eyescandies-CandyCane,48.64,79.77,60.79
eyescandies-ChocolateCookie,65.44,86.75,65.00
eyescandies-ChocolatePraline,62.88,86.90,62.33
eyescandies-Confetto,81.28,90.40,82.39
eyescandies-GummyBear,62.02,71.56,61.92
eyescandies-HazelnutTruffle,56.00,82.54,50.32
eyescandies-LicoriceSandwich,73.60,87.53,70.64
eyescandies-Lollipop,68.93,95.81,77.42
eyescandies-Marshmallow,83.84,79.74,76.46
eyescandies-PeppermintCandy,68.48,82.06,66.03
