,i_roc,p_roc,pro_auc
eyescandies-CandyCane,48.64,79.71,60.93
eyescandies-ChocolateCookie,65.60,86.92,65.41
eyescandies-ChocolatePraline,62.56,86.94,62.24
eyescandies-Confetto,81.28,90.53,82.44
eyescandies-GummyBear,62.50,72.22,62.09
eyescandies-HazelnutTruffle,56.96,82.64,50.25
eyescandies-LicoriceSandwich,74.08,87.78,71.11
eyescandies-Lollipop,69.12,95.95,78.18
eyescandies-Marshmallow,84.00,79.82,76.70
eyescandies-PeppermintCandy,68.00,82.32,65.93
