,i_roc,p_roc,pro_auc
eyescandies-CandyCane,48.48,79.38,60.70
eyescandies-ChocolateCookie,65.12,85.75,64.46
eyescandies-ChocolatePraline,62.24,86.56,62.42
eyescandies-Confetto,81.44,90.18,82.24
eyescandies-GummyBear,62.66,71.61,62.13
eyescandies-HazelnutTruffle,56.16,82.30,50.23
eyescandies-LicoriceSandwich,73.44,87.54,70.65
eyescandies-Lollipop,68.75,95.85,77.76
eyescandies-Marshmallow,83.52,79.76,76.14
eyescandies-PeppermintCandy,68.32,81.92,65.89
