,i_roc,p_roc,pro_auc
eyescandies-CandyCane,49.12,79.48,60.81
eyescandies-ChocolateCookie,65.12,85.85,64.30
eyescandies-ChocolatePraline,62.24,86.76,62.38
eyescandies-Confetto,81.28,90.42,82.62
eyescandies-GummyBear,62.98,72.17,62.22
eyescandies-HazelnutTruffle,56.80,82.32,50.28
eyescandies-LicoriceSandwich,74.24,87.70,70.77
eyescandies-Lollipop,68.57,95.90,77.86
eyescandies-Marshmallow,84.48,79.94,76.78
eyescandies-PeppermintCandy,67.04,81.65,65.71
