,i_roc,p_roc,pro_auc
mvtec3d-bagel,85.85,89.91,68.30
mvtec3d-cable_gland,82.05,70.27,55.12
mvtec3d-carrot,83.75,89.50,81.38
mvtec3d-cookie,74.90,82.28,58.74
mvtec3d-dowel,78.33,80.10,61.61
mvtec3d-foam,73.81,80.08,61.25
mvtec3d-peach,70.39,84.98,71.84
mvtec3d-potato,59.73,73.57,71.25
mvtec3d-rope,95.20,96.00,80.93
mvtec3d-tire,70.16,74.95,49.96
