,i_roc,p_roc,pro_auc
mvtec3d-bagel,88.43,89.91,68.30
mvtec3d-cable_gland,82.10,70.27,55.12
mvtec3d-carrot,83.73,89.50,81.38
mvtec3d-cookie,73.23,82.28,58.74
mvtec3d-dowel,78.14,80.10,61.61
mvtec3d-foam,72.50,80.08,61.25
mvtec3d-peach,70.83,84.98,71.84
mvtec3d-potato,60.28,73.57,71.25
mvtec3d-rope,95.38,96.00,80.93
mvtec3d-tire,70.30,74.95,49.96
