,i_roc,p_roc,pro_auc
mvtec3d-bagel,83.11,91.71,77.11
mvtec3d-cable_gland,83.91,75.95,55.54
mvtec3d-carrot,69.73,93.73,83.06
mvtec3d-cookie,79.23,87.45,71.83
mvtec3d-dowel,80.58,89.18,77.75
mvtec3d-foam,63.37,84.85,66.03
mvtec3d-peach,79.68,82.91,66.63
mvtec3d-potato,55.09,72.18,65.39
mvtec3d-rope,90.90,97.76,90.08
mvtec3d-tire,68.92,81.89,66.67
