,i_roc,p_roc
mvtec3d-bagel,79.03,0.00
mvtec3d-cable_gland,82.54,0.00
mvtec3d-carrot,79.94,0.00
mvtec3d-cookie,78.40,0.00
mvtec3d-dowel,85.54,0.00
mvtec3d-foam,74.25,0.00
mvtec3d-peach,68.61,0.00
mvtec3d-potato,60.62,0.00
mvtec3d-rope,94.84,0.00
mvtec3d-tire,69.47,0.00
