,i_roc,p_roc,pro_auc
mvtec3d-bagel,79.03,89.42,70.26
mvtec3d-cable_gland,82.54,73.02,56.65
mvtec3d-carrot,79.94,90.34,79.21
mvtec3d-cookie,78.40,83.83,61.77
mvtec3d-dowel,85.54,82.48,65.73
mvtec3d-foam,74.25,85.84,69.38
mvtec3d-peach,68.61,83.29,66.82
mvtec3d-potato,60.62,76.21,70.18
mvtec3d-rope,94.84,96.62,84.76
mvtec3d-tire,69.47,74.01,49.89
