,i_roc,p_roc,pro_auc
mvtec3d-bagel,87.40,93.56,78.30
mvtec3d-cable_gland,82.27,70.80,55.95
mvtec3d-carrot,78.73,92.61,81.29
mvtec3d-cookie,85.12,89.83,75.36
mvtec3d-dowel,80.25,88.42,76.01
mvtec3d-foam,71.94,84.99,67.81
mvtec3d-peach,0.00,0.00,0.00
mvtec3d-potato,0.00,0.00,0.00
mvtec3d-rope,0.00,0.00,0.00
mvtec3d-tire,0.00,0.00,0.00
