,i_roc,p_roc,pro_auc
mvtec3d-bagel,82.70,89.68,73.75
mvtec3d-cable_gland,83.25,75.19,62.43
mvtec3d-carrot,82.63,91.38,86.11
mvtec3d-cookie,74.76,88.29,65.34
mvtec3d-dowel,80.51,84.11,67.55
mvtec3d-foam,77.19,84.88,66.19
mvtec3d-peach,72.90,85.51,73.40
mvtec3d-potato,56.82,80.77,75.17
mvtec3d-rope,93.12,95.88,82.56
mvtec3d-tire,70.02,81.70,60.26
