,i_roc,p_roc,pro_auc
mvtec3d-bagel,83.06,93.85,80.42
mvtec3d-cable_gland,86.04,80.44,69.06
mvtec3d-carrot,85.72,92.92,86.74
mvtec3d-cookie,74.10,91.18,69.89
mvtec3d-dowel,77.03,85.11,70.54
mvtec3d-foam,81.19,91.98,80.86
mvtec3d-peach,71.73,90.08,82.42
mvtec3d-potato,63.98,87.74,82.17
mvtec3d-rope,94.25,96.31,83.07
mvtec3d-tire,69.66,83.38,63.95
